index	scenario_id	compound_id	compound_name	smiles	canonicalize_smiles	halflife	halflife_unit	halflife_model	halflife_comment	rateconstant	rateconstant_unit	rateconstant_comment	reaction_order	acidity	acidity_unit	temperature	temperature_unit	original_sludge_amount	original_sludge_amount_unit	sludge_retention_time	sludge_retention_time_unit	sludge_retention_time_type	total_suspended_solids_concentration_start	total_suspended_solids_concentration_end	total_suspended_solids_concentration_unit	addition_of_nutrients	biological_treatment_technology	bioreactor_type	bioreactor_value	bioreactor_value_unit	nitrogen_content_type	nitrogen_content_influent	oxygen_demand_type	oxygen_demand_value	oxygen_uptake_rate	oxygen_uptake_rate_unit	phosphorus_content	redox	source_of_liquid_matrix	type_of_addition	type_of_aeration	inoculum_source	location	purpose_of_wwtp
32	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/3f313fb4-f7d6-489a-acbd-d8b7c2cd7277	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/124a0bd9-2ffe-4050-9e95-5430494dc186/structure/202c5433-fb1b-449a-bd95-5b283813559c	Dehydroacetic acid	CC1=CC(=O)C(C(=O)C)C(=O)O1	CC(=O)C1C(=O)C=C(C)OC1=O					0.42000000000000004	1 / day	no comment	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
33	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/c5dba5ab-4975-4f2a-affb-69ab0e8b4f51	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/124a0bd9-2ffe-4050-9e95-5430494dc186/structure/202c5433-fb1b-449a-bd95-5b283813559c	Dehydroacetic acid	CC1=CC(=O)C(C(=O)C)C(=O)O1	CC(=O)C1C(=O)C=C(C)OC1=O					0.12000000000000001	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
34	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/838d6d87-0b92-49a0-86a4-676cc092e88a	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/20c5e2b4-829a-4405-85c7-9093f360825c/structure/8fb51d88-5743-457d-b376-968add7c5508	Dicamba	COC1=C(C(=CC=C1Cl)Cl)C(=O)O	COc1c(Cl)ccc(Cl)c1C(=O)O					0.026	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
35	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/794df501-b415-4d35-8a88-36165522573e	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/20c5e2b4-829a-4405-85c7-9093f360825c/structure/8fb51d88-5743-457d-b376-968add7c5508	Dicamba	COC1=C(C(=CC=C1Cl)Cl)C(=O)O	COc1c(Cl)ccc(Cl)c1C(=O)O					0.0625	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
36	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/af7d3d49-cbd6-4184-ab97-9160515b6633	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/20c5e2b4-829a-4405-85c7-9093f360825c/structure/8fb51d88-5743-457d-b376-968add7c5508	Dicamba	COC1=C(C(=CC=C1Cl)Cl)C(=O)O	COc1c(Cl)ccc(Cl)c1C(=O)O					0.0165	1 / day	no comment	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
37	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/96b4c21f-0061-4d30-91b0-3c58d600956e	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/4293ccc4-8146-4005-8447-2d076b1167cd/structure/dcb2e50b-758a-41f8-8b63-7e68c38427f7	Diethyl phthalate	CCOC(=O)C1=C(C=CC=C1)C(=O)OCC	CCOC(=O)c1ccccc1C(=O)OCC					8.0	1 / day	no comment	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
38	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/965c188e-229a-4a7b-8d6b-e140f09dc574	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/4293ccc4-8146-4005-8447-2d076b1167cd/structure/dcb2e50b-758a-41f8-8b63-7e68c38427f7	Diethyl phthalate	CCOC(=O)C1=C(C=CC=C1)C(=O)OCC	CCOC(=O)c1ccccc1C(=O)OCC					6.85	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
39	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/5b0aa253-1340-4673-b260-8a76f65e994f	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/4293ccc4-8146-4005-8447-2d076b1167cd/structure/dcb2e50b-758a-41f8-8b63-7e68c38427f7	Diethyl phthalate	CCOC(=O)C1=C(C=CC=C1)C(=O)OCC	CCOC(=O)c1ccccc1C(=O)OCC					2.5999999999999996	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
40	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/653b3ccb-cb8c-4025-ad51-13465ee8e8a7	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/615db7eb-4d29-4b0b-b967-b33e8ade297d/structure/8ac3cd2a-b793-4517-848a-4a5abfdb8d11	Dimethyl phthalate	COC(=O)C1=C(C=CC=C1)C(=O)OC	COC(=O)c1ccccc1C(=O)OC					2.3	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
41	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/63458504-0493-454e-95c3-0cd74843c1dc	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/615db7eb-4d29-4b0b-b967-b33e8ade297d/structure/8ac3cd2a-b793-4517-848a-4a5abfdb8d11	Dimethyl phthalate	COC(=O)C1=C(C=CC=C1)C(=O)OC	COC(=O)c1ccccc1C(=O)OC					5.3	1 / day	no comment	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
